1;1410,1572,1605,2020,2358
2;2434,2863,3078
3;1134,1613,1807,1947,2290,2923
4;1749,1811,2256,2371,2597,2796,2912,3043,3073,3082,3127,3128
5;0756,1307,1502,2035,2299,2399,2501,2820
6;1543,2078,2828
7;1198,1338,1877,1960,2150,2228,2256,2280,2320,2342,2376,2482,2578,2597,2618,2685,2700,2777,2865,2866,2895,2912,2941,3043,3082,3128,3141,3148
8;2625,2849,3032
9;2372,2632,2870,2876,3068,3111,3128,3158,3177
10;0046,0141,0392,0950,1158,1198,1262,1380,1471,1601,1613,1747,1795,1811,2060,2150,2256,2289,2342,2376,2433,2618,2664,2685,2700,2714,2777,2785,2851,2895,2896,2912,3039,3075,3156
11;1043,1188,1306,1358,1396,1491,1923,2246,2316,2527,2699,2710,2715,2716,2906,2923,2956,3073,3150
12;1523,2080,2246,2629,3127
13;0115,1223,1231,1551,1625,1795,1807,1947,2495,2579,2897
14;0074,0117,0232,0776,0827,0850,0851,0852,0854,0855,0856,0857,0858,0860,0861,0862,0864,0865,0866,1175,1724,1919,1956,1969,1980,1997,2017,2041,2108,2118,2146,2176,2191,2272,2337,2348,2397,2563,2664,2679,2714,2716,3075,3187
15;1231,1551,1613,1947,2263,2495,2598,2685,2701,2880
16;1746,1749,1828,1854,1960,2070,2114,2342,2376,2378,2500,2632,2817,2912,3073,3105,3148
17;0115,0405,1134,1223,1231,1535,1551,1613,1807,1934,1947,2290,2495,2579,2586,2923
18;1158,1215,1262,1471,1613,1811,2060,2175,2413,2433,2685
19;0141,0863,0950,1601,2266,2664,2714,2973,3075,3156,3175
20;1563,2695,2986
21;1429,1847,2189,2490,2603,2701,2702,2703,2932,3018,3139
22;2369,2384,2441,2473,2564,2637,2638,2678,2692,2751,2760,2761,2827,2828,2829,3116,3149
23;2578,2849,3137,3148
24;0268,1696,1892,2069,2123,2297,2373,2667,2862,2970,2996,3078,3098
25;0268,0757,0963,1408,1518,1526,1533,1572,1653,1698,1719,1805,1892,1901,2085,2095,2218,2277,2318,2319,2358,2373,2434,2452,2535,2582,2667,2668,2669,2681,2741,2765,2798,2818,2831,2859,2862,2863,2881,2918,2928,2984,2988,2996,3006,3048,3059,3067,3088,3089,3119
26;1071,1198,1338,1749,1828,1854,1960,2080,2150,2256,2320,2342,2376,2379,2541,2597,2618,2632,2700,2740,2777,2851,2866,2912,2938,3039,3043,3048,3082,3128
27;1641,1642,1750,1752,1879,1884,1901,2095,2297,2435,2481,2498,2560,2596,2669,2734,2747,2768,2798,2818,2859,2864,2902,2918,2955,2983,2988,3000,3052
28;2578,2849,2890,2949,3032
29;0377,0513,0610,0935,1094,1420,1537,1538,1539,1840,1841,1967,2028,2089,2120,2462,2927,2932,3037
30;1926,2486,2786,2917
31;2125,3047
32;0366,1145,3139
33;2805
36;1265,1350,1683,1768,1787,1825,1836,2015,2084,2110,2179,2340,2423,2702,2708,2733,2824,2836,2986,3094
37;2265,2377,2558,2625,2632,2651,2738,2840,2939,2941,3144,3148
38;2265,2558,2625,2632,2651,2868,2939,2940,2941,2956,2957,2958,2960,3031,3103,3150
39;1693,1861,2126,2265,2317,2558,2625,2632,2651,2939,2941,3031
40;1614,2126,2148,2265,2651,2939,2940,2941,2956,2958
42;0963,1069,1518,1572,1653,1805,1827,1884,2022,2085,2151,2247,2318,2344,2522,2542,2749,2951,2984,3048,3072
43;0122,0266,0297,0462,1113,1325,1528,1554,1686,1697,2004,2195,2201,2211,2382,2400,2421,2514,2523,2655,2687,2751,2754,2771,2788,2811,2826,2827,2828,2829,2841,2883,2910,2913,2924,2994,3047,3062,3116,3149,3172
44;1804,1891,2004,2382,2514,2523,2547,2687,2751,2771,2827,2829,2910,2913,2924,3013,3047
45;0268,1831,1935,2140,2257,2359,2360,2452,2493,2669,2680,2716,2765,2816,2878,2882,2900,2964,2965,2969,3002,3058,3129,3137,3152,3168
48;0149,1353,1666,1729,1797,1863,2073,2223,2226,2285,2325,2589
49;1152,1515,1681,2127,2390,2561,2795,2832
57;3077
58;0432,0536,1293,1344,1398,1411,1420,1445,1619,1629,1631,1691,1709,1812,1944,2098,2115,2122,2123,2249,2349,2395,2634,2636,2719,2731,2825,3159,3166,3167
59;0440,0944,1112,1170,1235,1314,1324,1456,1457,1700,1785,1786,1855,1860,1885,1973,2018,2032,2033,2092,2107,2111,2127,2203,2251,2274,2359,2412,2524,2530,2532,2537,2543,2552,2559,2631,2673,2905,2974,2991,3053,3083,3126
60;2023,2046,2198,2377,2406,2452,2493,2516,2526,2593,2710,2715,2716,2717,2718,2765,2816,2817,2882,2957,2959,2960,2964,2976,3087,3137,3147
61;0239,0440,0634,1032,1236,1457,1514,1675,1830,1927,1976,2160,2307,2363,2451,2452,2524,2575,2631,2641,2711,2765,2965,2966,2976,2990,3001,3012,3134,3168,3169
62;0950,1601,1811,2289,2664,2714,3075,3156
63;0950,1601,1795,1811,2266,2289,2557,2664,2714,2973,3075,3156
64;2651
